gene_name,experiment_ids,allen_gene_ids,entrez_ids,entrez_history,current_entrez_ids,mgi_ids,current_symbols,old_ensembl_id,mgi_candidates,ncbi_candidates,candidate_ids,allen_target_ambiguous,ensembl_ids,rejected_candidates,status
Cstf2,[2131],[72224],"[""108062""]","[[""108062""]]","[""108062""]","[""MGI:1343054""]","[""Cstf2""]",ENSMUSG00000031256,"[""ENSMUSG00000031256""]","[""ENSMUSG00000031256""]","[""ENSMUSG00000031256""]",False,"[""ENSMUSG00000031256""]",{},one_to_one
Ctbp2,[70615583],[12800],"[""13017""]","[[""13017""]]","[""13017""]","[""MGI:1201686""]","[""Ctbp2""]",ENSMUSG00000030970,"[""ENSMUSG00000030970""]","[""ENSMUSG00000030970""]","[""ENSMUSG00000030970""]",False,"[""ENSMUSG00000030970""]",{},one_to_one
Ctf1,[1695],[12802],"[""13019""]","[[""13019""]]","[""13019""]","[""MGI:105115""]","[""Ctf1""]",ENSMUSG00000042340,"[""ENSMUSG00000042340""]","[""ENSMUSG00000042340""]","[""ENSMUSG00000042340""]",False,"[""ENSMUSG00000042340""]",{},one_to_one
Ctgf,"[1183, 79556634]",[13996],"[""14219""]","[[""14219""]]","[""14219""]","[""MGI:95537""]","[""Ccn2""]",ENSMUSG00000019997,"[""ENSMUSG00000019997""]","[""ENSMUSG00000019997""]","[""ENSMUSG00000019997""]",False,"[""ENSMUSG00000019997""]",{},one_to_one
Cth,[75042264],[72031],"[""107869""]","[[""107869""]]","[""107869""]","[""MGI:1339968""]","[""Cth""]",ENSMUSG00000028179,"[""ENSMUSG00000028179""]","[""ENSMUSG00000028179""]","[""ENSMUSG00000028179""]",False,"[""ENSMUSG00000028179""]",{},one_to_one
Cthrc1,[72472772],[44430],"[""68588""]","[[""68588""]]","[""68588""]","[""MGI:1915838""]","[""Cthrc1""]",ENSMUSG00000054196,"[""ENSMUSG00000054196""]","[""ENSMUSG00000054196""]","[""ENSMUSG00000054196""]",False,"[""ENSMUSG00000054196""]",{},one_to_one
Ctla4,[75079745],[12262],"[""12477""]","[[""12477""]]","[""12477""]","[""MGI:88556""]","[""Ctla4""]",ENSMUSG00000026011,"[""ENSMUSG00000026011""]","[""ENSMUSG00000026011""]","[""ENSMUSG00000026011""]",False,"[""ENSMUSG00000026011""]",{},one_to_one
Ctnna2,[74363355],[12171],"[""12386""]","[[""12386""]]","[""12386""]","[""MGI:88275""]","[""Ctnna2""]",ENSMUSG00000063063,"[""ENSMUSG00000063063""]","[""ENSMUSG00000063063""]","[""ENSMUSG00000063063""]",False,"[""ENSMUSG00000063063""]",{},one_to_one
Ctnnb1,"[196, 79591729]",[12172],"[""12387""]","[[""12387""]]","[""12387""]","[""MGI:88276""]","[""Ctnnb1""]",ENSMUSG00000006932,"[""ENSMUSG00000006932""]","[""ENSMUSG00000006932""]","[""ENSMUSG00000006932""]",False,"[""ENSMUSG00000006932""]",{},one_to_one
Ctnnbip1,[70805935],[42930],"[""67087""]","[[""67087""]]","[""67087""]","[""MGI:1915756""]","[""Ctnnbip1""]",ENSMUSG00000028988,"[""ENSMUSG00000028988""]","[""ENSMUSG00000028988""]","[""ENSMUSG00000028988""]",False,"[""ENSMUSG00000028988""]",{},one_to_one
